entpName,itemName,itemSeq,efcyQesitm,useMethodQesitm,depositMethodQesitm,itemImage
동화약품(주),활명수,195700020,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.","만 15세 이상 및 성인은 1회 1병(75 mL), 만 11세이상~만 15세미만은 1회 2/3병(50 mL), 만 8세 이상~만 11세 미만은 1회 1/2병(37.5 mL), 만 5세 이상~만 8세 미만은 1회 1/3병(25 mL), 만 3세 이상~만 5세 미만은 1회 1/4병(18.75 mL), 만 1세 이상~만 3세 미만은 1회 1/5병(15 mL),1일 3회 식후에 복용합니다. 복용간격은 4시간 이상으로 합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
신신제약(주),신신티눈고(살리실산반창고)(수출명:SINSINCORNPLASTER),195900034,"이 약은 티눈, 못(굳은살), 사마귀에 사용합니다.",이형지로부터 벗겨 이 약제면을 환부(질환 부위)에 대고 테이프로 고정하고 2~5일마다 교체하여 붙입니다.,습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
삼진제약(주),아네모정,195900043,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","성인 1회 2정, 1일 3회 식간(식사와 식사때 사이) 및 취침시에 복용합니다.",습기와 빛을 피해 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/152035092098000085
동아제약(주),타치온정50밀리그램(글루타티온(환원형)),197100015,"이 약은약물중독, 자가중독에 사용합니다.","성인은 1회 1~2정(50~100 mg), 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감합니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F66kj
(주)보령,겔포스현탁액(인산알루미늄겔),197400207,"이 약은 위·십이지장 궤양, 위염, 위산과다(속쓰림, 위통, 구역, 구토)의 제산작용 및 증상의 개선에 사용합니다.","성인은 1회 1포씩, 1일 3~4회 식간(식사 때와 식사 때 사이)및 취침 시 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.",빛을 피해 실온에서 보관하십시오.,
일양약품(주),일양노이겔현탁액(규산알루민산마그네슘),197700189,이 약은 위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용합니다.,성인은 1회 1/2포~1포(0.5~1 g) 1일 3~4회 공복시에 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.,빛을 피해 실온에서 보관하십시오.,
일양약품(주),일양노이시린에이정(규산알루민산마그네슘),197800242,이 약은 위산과다 위ㆍ십이지장염 위염의 제산작용 및 증상의 개선에 사용합니다.,"성인은 1회 1~2정(0.5~1 g), 1일 3~4회 공복시에 복용합니다.연령 또는 증상에 따라 적절히 증감합니다.",,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/148674126111200110
정우신약(주),자모,195900045,"이 약은 기침, 가래, 천식에 사용합니다.","성인은 1회 10 g, 11~14세는 1회 7 g, 8~10세는 1회 5 g, 5~7세는 1회 3 g씩, 1일 3회 식후에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
(주)유한양행,페니라민정(클로르페니라민말레산염),196000011,"이 약은 고초열(꽃가루 알레르기비염), 두드러기, 가려움성 피부질환(습진, 피부염, 피부가려움증, 약물발진), 알레르기 비염, 혈관운동성 코염, 코감기에 의한 재채기, 콧물, 기침, 혈관운동성 부기에 사용합니다.","성인은 1회 1~3정(2~6 mg)씩, 1일 2~4회 복용합니다.1일 12정(24 mg)을 초과하지 마십시오.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1Orz9gcUHnw
(주)유한양행,삐콤정,196200034,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후의 체력 저하 시 비타민 B1, B2, B6, C의 보급에 사용합니다.","만 8세 이상 및 성인은 1회 1~3정씩, 1일 1회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/153495248483300010
알보젠코리아(주),세나서트2밀리그람질정,198401161,이 약은 세균성질증에 사용합니다.,"성인은 1회 1정, 1일 1회 질내 깊숙이 삽입합니다.",습기와 빛을 피해 서늘한 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NOwp2F6EVc
삼진제약(주),겔마현탁액,199001305,"이 약은 위염, 식도염, 소화불량, 가슴쓰림, 열공(구멍)헤르니아(탈장), 복부(배부분)팽만감에 사용합니다.",성인은 1회 10 g 1일 2~4회 식전 및 취침시에 복용합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
삼남제약(주),게루삼정,196400046,"이 약은 위산과다, 속쓰림, 위부불쾌감, 위부팽만감, 체함, 구역, 구토, 위통, 신트림에 사용합니다.","만 15세 이상 및 성인은 1회 2정, 만 8세 이상 15세 미만은 1회 1정, 1일 3회 식간(식사때와 식사때 사이) 및 취침시 복용합니다.복용간격은 4시간 이상으로 합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/154307400984500104
원광제약(주),"보화소합원(대환,소환)",196400089,"이 약은 식욕감퇴(식욕부진), 위부팽만감, 소화불량, 과식, 체함, 구역, 구토에 사용합니다.",대환은 1회 1∼2환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.소환은 1회 8∼16환을 1일 3회 식후에 소량의 물과 함께 복용하십시오.,습기와 빛을 피해 건냉암소에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
지엘파마(주),지엘타이밍정(카페인무수물),196500051,이 약은 졸음에 사용합니다.,"성인은 1회 2~6정(100~300 mg)씩, 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1NAT_bwbZd9
동아제약(주),베스타제정,196600011,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/147427311457100131
동아제약(주),베스타제당의정,196600012,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 식체(위체), 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.","성인은 1회 2정, 11~14세는 1회 1~2정, 8~10세는 1회 1정을 1일 3회 식후에 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/1MoApPycZgS
대한약품공업(주),대한염화나트륨액,199100317,"이 약은 피부, 창상면, 점막의 세정, 습포, 함소, 분무흡입제로서 점막세정, 객담배출 촉진, 의료용구의 세정에 사용합니다.",적당량을 사용합니다.,실온에서 보관하십시오.,
삼일제약(주),옵타젠트점안액(포비돈),199100655,"이 약은 건조한 눈, 하드콘택트렌즈 착용시에 사용합니다.",1회 1~2방울 1일 4~5회 점안합니다.증상에 따라 적절히 증감합니다.,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
해태에이치티비(주),1.영진구론산바몬드액2.영진구론산바몬드스파클링액,199200813,"이 약은 자양강장, 피로회복에 사용합니다.","15세 이상 및 성인은 1회 1병, 1일 1~2회 복용합니다.이 약은 경구용으로만 사용하고 주사용으로는 사용하지 마십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
조아제약(주),에바치온캡슐(글루타티온),199202273,이 약은 약물중독에 사용합니다.,"성인은 1회 1~2캡슐(50~100 mg), 1일 1~3회 복용합니다.연령, 증상에 따라 적절히 증감할 수 있습니다.",실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,https://nedrug.mfds.go.kr/pbp/cmn/itemImageDownload/151577167067000087
일양약품(주),원비디,196600063,"이 약은 자양강장, 허약체질 보조 및 개선, 피로회복에 사용합니다.","15세 이상 및 성인은 1회 1병, 1일 1~2회 복용합니다.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.,
